student_id,S_пос,S_пос_взв,S_опр,S_опр_взв,S_док,S_док_взв,S_лаб,S_лаб_взв,ЛР_сдано,ЛР_всего,Рейтинг_сумма,Проект_raw,Проект,Бонус_проект,Рейтинг_итог,Блок,Причина_блока,Зачёт
1,2.94,0.44,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.56,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
2,2.94,0.44,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.56,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
3,2.94,0.44,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.56,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
4,2.94,0.44,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.56,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
5,2.94,0.44,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.56,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
6,2.94,0.44,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.56,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
7,2.94,0.44,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.56,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
8,2.94,0.44,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.56,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
9,2.94,0.44,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.56,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
